group,n,prevalence,auc,sensitivity,specificity,ppv,npv,screening_rate,tp,fp,tn,fn,demographic_type
66+,11237,0.05739966183144968,0.7719609944026793,0.6682170542635659,0.737820996978852,0.13435162094763092,0.9733466185079088,0.28548544985316365,431,2777,7815,214,age_group
36-50,12753,0.0824119814945503,0.8182259540400765,0.8163653663177926,0.6422833703640404,0.17010309278350516,0.9749643274095213,0.39551478083588176,858,4186,7516,193,age_group
51-65,10456,0.1129495026778883,0.7759555952171739,0.8314987298899238,0.5477088948787062,0.18968514583735754,0.9623034665656375,0.4951224177505738,982,4195,5080,199,age_group
18-35,41482,0.06933127621619016,0.7805539119683991,0.7618219749652295,0.6583950681241257,0.14246700045516614,0.9737578056162127,0.370739115761053,2191,13188,25418,685,age_group
Female,46593,0.07052561543579508,0.7833088962254945,0.7620206938527084,0.6648116932597502,0.1471210340775558,0.9735569607412167,0.3652909235292855,2504,14516,28791,782,sex
Male,32152,0.08083478477233143,0.7957636892819595,0.7853020392458638,0.6448076337427673,0.16278513319508695,0.9715509330070358,0.3899601891017666,2041,10497,19056,558,sex
White,36157,0.0405453992311309,0.7784184051259329,0.6227830832196453,0.7860828456948488,0.1095512359011279,0.9801243575459152,0.23049478662499653,913,7421,27270,553,race_group
Black,15587,0.14499262205684224,0.7159373711362456,0.8632743362831858,0.3976138665866287,0.1955105722016234,0.9449001426533523,0.6402129980111632,1951,8028,5299,309,race_group
Other,21246,0.09667702155699896,0.7540374559669255,0.7887049659201558,0.5563776573572322,0.15985790408525755,0.9609431245500359,0.47698390285230163,1620,8514,10678,434,race_group
Asian,5755,0.018245004344048653,0.7426321112515802,0.580952380952381,0.8141592920353983,0.05490549054905491,0.9905254091300603,0.19304952215464813,61,1050,4600,44,race_group
Non-Hispanic,54368,0.06584755738669806,0.8071219315432362,0.7667597765363129,0.7076277860912027,0.15601909741957484,0.9772937401424919,0.3236094761624485,2745,14849,35939,835,ethnicity_group
Hispanic,24377,0.0945563440948435,0.741951798059437,0.7809110629067245,0.5395070677781805,0.15045135406218657,0.9593168452428905,0.4907904992410879,1800,10164,11908,505,ethnicity_group
